PM2.5,PM10,SO2,CO,O3,NO2
65,36,15,10,30,5
64,35,15,10,32,5
64,34,14,10,33,5
64,34,14,10,35,5
63,34,14,11,37,5
63,34,13,11,39,6
64,34,13,11,40,6
64,35,13,11,42,6
65,35,13,12,43,6
65,36,13,12,44,6
66,36,13,12,43,6
66,36,13,12,43,6
65,36,13,13,44,6
64,35,13,13,45,6
64,35,13,13,46,6
64,35,13,13,47,6
64,35,13,13,48,6
64,34,13,13,48,6
63,33,13,13,49,6
62,32,13,13,50,6
62,32,12,14,52,7
61,31,12,14,51,7
61,31,12,14,50,8
62,32,12,15,49,8
63,33,12,15,49,8
63,33,12,15,48,8
62,33,12,14,46,8
62,32,12,14,44,8
61,32,12,14,42,8
61,31,12,13,39,8
60,30,13,13,37,8
59,29,13,13,35,8
58,29,12,13,33,8
57,28,12,13,32,8
56,27,12,12,32,8
55,25,12,12,31,8
54,24,11,12,30,8
53,23,11,12,29,8
51,21,11,11,28,8
50,20,11,11,27,8
50,20,11,11,26,8
49,20,11,11,25,8
49,20,11,10,24,8
49,20,11,10,22,7
48,19,11,9,20,7
47,19,12,9,20,6
45,18,12,8,21,6
42,17,12,7,22,5
39,15,12,8,21,5
40,16,12,8,21,5
42,16,13,9,21,5
43,17,13,9,21,5
45,18,13,9,22,5
46,18,12,9,22,5
47,19,12,9,22,5
49,19,12,9,21,5
50,20,13,9,21,5
51,21,13,9,21,5
51,21,13,9,20,5
51,21,13,9,20,5
51,21,13,9,20,5
50,20,13,9,20,5
49,20,13,9,20,5
49,20,13,9,20,5
48,19,13,9,19,5
46,19,13,9,19,5
45,18,13,9,19,5
44,18,13,9,19,5
43,17,14,9,18,4
42,17,14,9,18,4
41,17,14,9,18,4
41,17,14,9,18,4
41,17,14,9,18,4
41,17,14,9,18,4
41,17,14,9,18,4
41,17,14,9,18,4
40,16,14,9,18,4
40,16,15,9,17,3
40,16,15,10,17,3
40,16,16,11,17,3
42,17,17,12,17,3
44,18,18,13,17,3
47,19,19,14,18,3
50,20,19,14,18,3
51,21,19,14,18,3
51,21,19,14,18,3
51,21,19,14,18,3
51,22,19,14,18,3
51,21,19,14,18,3
51,21,18,14,18,3
51,21,18,14,18,3
51,21,18,14,18,3
51,21,19,14,18,3
51,21,19,13,18,3
51,21,19,13,18,3
51,21,18,13,18,3
51,21,19,13,19,3
51,21,19,12,19,3
50,20,19,13,20,2
50,20,19,13,21,2
49,20,19,13,22,2
49,20,19,13,22,2
49,20,19,12,23,2
47,19,18,11,24,2
44,17,18,11,25,2
41,16,17,10,25,2
39,16,17,10,25,2
39,16,17,10,25,2
40,16,17,10,25,2
39,16,18,10,26,2
39,16,18,10,26,2
39,16,18,11,27,2
40,16,18,11,27,2
41,16,18,11,27,2
41,16,18,11,27,2
41,16,18,11,27,2
41,16,17,11,27,2
42,17,17,11,28,3
43,17,17,11,28,3
43,17,17,12,29,3
43,17,17,12,30,3
43,17,17,12,31,3
42,17,17,11,31,3
41,16,17,11,31,3
40,16,17,11,31,3
39,16,17,11,31,3
39,16,17,11,31,3
39,16,17,11,31,3
39,16,17,11,31,3
39,16,17,11,31,3
37,15,17,11,31,3
38,15,17,11,31,3
37,15,17,10,31,3
36,15,17,10,31,3
36,15,17,10,30,2
36,14,17,10,30,2
35,14,17,10,30,2
34,14,17,10,30,2
33,14,17,10,30,2
33,14,17,10,30,2
33,14,17,10,30,2
32,13,17,9,30,2
32,13,17,9,29,2
30,12,17,8,28,2
29,12,16,8,28,2
28,11,16,9,27,2
30,12,16,9,27,2
31,12,16,9,28,2
31,12,16,9,28,2
31,12,16,9,28,2
31,12,16,8,28,3
30,12,16,8,27,3
29,12,15,7,27,3
28,11,14,7,27,3
27,11,14,6,27,3
25,10,14,7,27,2
25,10,14,7,27,2
25,10,14,7,27,3
25,10,14,7,28,3
26,10,14,7,29,3
26,10,14,7,29,3
26,10,14,7,30,3
27,11,14,7,30,3
27,11,13,7,31,3
27,11,13,7,31,3
27,11,13,7,31,3
28,11,13,8,31,3
28,11,13,8,31,3
28,11,14,8,30,3
28,11,14,8,29,3
27,11,14,8,28,3
28,11,14,9,26,3
30,12,15,9,25,3
31,12,15,9,23,3
32,13,15,10,22,3
33,13,15,10,22,3
34,14,15,10,21,3
36,14,16,11,21,3
37,15,16,11,20,3
37,15,16,11,20,3
37,15,16,11,20,3
37,15,16,10,20,3
37,15,16,10,19,3
37,15,15,10,19,3
37,15,15,10,19,3
36,14,15,10,19,3
36,14,15,10,18,3
35,14,15,10,18,3
35,14,15,10,18,4
35,14,15,10,17,4
35,14,15,9,16,4
35,14,15,10,16,4
36,15,15,10,16,4
41,17,15,10,16,4
43,17,15,9,16,4
42,17,14,8,16,4
42,17,14,8,16,4
41,16,14,8,16,4
42,17,14,8,16,4
42,17,14,7,15,4
42,16,14,7,15,4
41,16,13,6,15,4
40,16,13,6,15,4
42,17,13,6,15,4
44,18,14,6,15,4
46,18,14,6,15,4
48,19,14,6,15,4
50,20,14,6,15,4
51,21,14,6,15,4
51,21,14,6,15,4
52,22,14,6,15,4
52,23,14,6,15,4
53,23,14,6,16,4
53,23,14,6,16,4
54,24,13,6,17,4
54,25,13,6,17,4
54,24,13,6,17,4
52,23,12,7,18,5
52,23,12,8,19,5
53,24,12,8,20,5
54,24,12,9,21,5
54,25,12,9,21,5
54,25,13,9,22,5
54,25,13,10,22,5
55,25,13,10,23,5
55,26,13,10,23,5
57,27,14,11,24,5
56,27,13,11,24,6
55,26,14,11,24,6
54,25,14,11,24,5
54,25,14,11,23,5
53,24,14,11,23,5
53,23,14,11,23,5
52,22,14,11,22,5
51,22,14,11,22,5
51,21,14,11,22,5
50,21,14,11,21,5
50,20,15,11,21,4
48,20,15,11,21,4
47,19,15,11,20,4
46,18,16,10,20,4
44,18,16,9,19,3
43,17,16,8,18,3
40,16,16,8,17,3
38,15,16,7,17,3
36,14,16,7,17,3
36,14,16,7,17,3
36,14,16,7,17,3
35,14,16,7,17,3
34,13,15,7,17,3
31,12,15,6,17,2
31,12,15,6,17,2
31,12,15,6,17,2
31,12,15,6,17,2
32,12,15,6,17,2
32,12,14,6,17,2
32,12,14,6,17,2
32,12,14,6,17,2
32,12,14,6,17,3
31,12,14,6,17,3
31,12,14,6,17,3
31,12,14,6,17,3
31,12,14,6,18,3
31,12,14,6,19,3
31,12,14,6,20,3
31,12,13,7,22,3
30,12,13,7,23,3
31,12,13,7,25,3
31,12,13,8,26,3
32,12,13,8,27,3
32,12,13,8,27,3
